prb_id,probe_src,dst_addr,hop,hop_from,hop_to,rtt
1012751,103.181.45.9,192.203.230.10,1,103.181.45.9,103.181.45.1,0.258
1012751,103.181.45.9,192.203.230.10,2,103.181.45.1,*,
1012751,103.181.45.9,192.203.230.10,3,103.181.45.1,192.203.230.10,0.496
1000376,109.192.37.140,192.203.230.10,1,109.192.37.140,192.168.2.1,0.928
1000376,109.192.37.140,192.203.230.10,2,192.168.2.1,109.192.37.252,8.321
1000376,109.192.37.140,192.203.230.10,3,109.192.37.252,81.210.151.214,24.106
1000376,109.192.37.140,192.203.230.10,4,81.210.151.214,145.253.48.220,14.133
1000376,109.192.37.140,192.203.230.10,5,145.253.48.220,145.254.1.110,11.969
1000376,109.192.37.140,192.203.230.10,6,145.254.1.110,198.41.240.9,13.874
1000376,109.192.37.140,192.203.230.10,7,198.41.240.9,192.203.230.10,13.051
1000518,176.57.191.107,192.203.230.10,1,176.57.191.107,176.57.191.97,0.908
1000518,176.57.191.107,192.203.230.10,2,176.57.191.97,45.138.175.173,0.254
1000518,176.57.191.107,192.203.230.10,3,45.138.175.173,62.69.146.48,25.115
1000518,176.57.191.107,192.203.230.10,4,62.69.146.48,192.203.230.10,0.382
1000523,83.223.207.252,192.203.230.10,1,83.223.207.252,83.223.207.1,0.903
1000523,83.223.207.252,192.203.230.10,2,83.223.207.1,*,
1000523,83.223.207.252,192.203.230.10,3,83.223.207.1,10.10.92.1,11.243
1000523,83.223.207.252,192.203.230.10,4,10.10.92.1,10.10.90.1,0.586
1000523,83.223.207.252,192.203.230.10,5,10.10.90.1,69.174.22.113,0.551
1000523,83.223.207.252,192.203.230.10,6,69.174.22.113,213.200.115.30,1.389
1000523,83.223.207.252,192.203.230.10,7,213.200.115.30,208.116.142.210,16.712
1000523,83.223.207.252,192.203.230.10,8,208.116.142.210,141.101.74.209,1.593
1000523,83.223.207.252,192.203.230.10,9,141.101.74.209,192.203.230.10,0.979
1004211,34.100.184.27,192.203.230.10,1,34.100.184.27,72.14.236.75,1.201
1004211,34.100.184.27,192.203.230.10,2,72.14.236.75,162.158.226.6,2.79
1004211,34.100.184.27,192.203.230.10,3,162.158.226.6,162.158.226.69,19.254
1004211,34.100.184.27,192.203.230.10,4,162.158.226.69,192.203.230.10,2.125
1005284,82.64.71.170,192.203.230.10,1,82.64.71.170,*,
1005284,82.64.71.170,192.203.230.10,2,82.64.71.170,194.149.174.114,2.332
1005284,82.64.71.170,192.203.230.10,3,194.149.174.114,212.27.35.0,2.239
1005284,82.64.71.170,192.203.230.10,4,212.27.35.0,*,
1005284,82.64.71.170,192.203.230.10,5,212.27.35.0,37.49.236.92,3.748
1005284,82.64.71.170,192.203.230.10,6,37.49.236.92,192.203.230.10,2.965
1005344,109.234.61.21,192.203.230.10,1,109.234.61.21,172.19.0.1,0.121
1005344,109.234.61.21,192.203.230.10,2,172.19.0.1,192.168.85.1,0.482
1005344,109.234.61.21,192.203.230.10,3,192.168.85.1,79.98.41.4,2.906
1005344,109.234.61.21,192.203.230.10,4,79.98.41.4,185.1.114.25,2.69
1005344,109.234.61.21,192.203.230.10,5,185.1.114.25,188.114.100.3,5.578
1005344,109.234.61.21,192.203.230.10,6,188.114.100.3,192.203.230.10,3.042
1005576,92.209.233.210,192.203.230.10,1,92.209.233.210,192.168.0.1,0.767
1005576,92.209.233.210,192.203.230.10,2,192.168.0.1,*,
1005576,92.209.233.210,192.203.230.10,3,192.168.0.1,188.111.129.2,26.221
1005576,92.209.233.210,192.203.230.10,4,188.111.129.2,145.254.2.183,29.914
1005576,92.209.233.210,192.203.230.10,5,145.254.2.183,198.41.240.18,29.406
1005576,92.209.233.210,192.203.230.10,6,198.41.240.18,198.41.240.9,49.852
1005576,92.209.233.210,192.203.230.10,7,198.41.240.9,192.203.230.10,24.711
1007855,37.186.113.100,192.203.230.10,1,37.186.113.100,192.168.112.1,0.279
1007855,37.186.113.100,192.203.230.10,2,192.168.112.1,46.19.98.209,1.191
1007855,37.186.113.100,192.203.230.10,3,46.19.98.209,46.19.98.21,1.148
1007855,37.186.113.100,192.203.230.10,4,46.19.98.21,46.19.99.2,1.134
1007855,37.186.113.100,192.203.230.10,5,46.19.99.2,46.19.99.3,1.903
1007855,37.186.113.100,192.203.230.10,6,46.19.99.3,192.203.230.10,1.133
1008182,91.194.11.124,192.203.230.10,1,91.194.11.124,85.208.108.1,2.469
1008182,91.194.11.124,192.203.230.10,2,85.208.108.1,104.254.93.129,0.455
1008182,91.194.11.124,192.203.230.10,3,104.254.93.129,206.108.34.7,1.381
1008182,91.194.11.124,192.203.230.10,4,206.108.34.7,108.162.239.20,1.418
1008182,91.194.11.124,192.203.230.10,5,108.162.239.20,192.203.230.10,0.981
1008302,78.129.63.17,192.203.230.10,1,78.129.63.17,10.161.20.1,8.455
1008302,78.129.63.17,192.203.230.10,2,10.161.20.1,109.88.204.121,8.182
1008302,78.129.63.17,192.203.230.10,3,109.88.204.121,212.68.211.13,8.312
1008302,78.129.63.17,192.203.230.10,4,212.68.211.13,185.1.127.13,18.329
1008302,78.129.63.17,192.203.230.10,5,185.1.127.13,162.158.232.19,10.126
1008302,78.129.63.17,192.203.230.10,6,162.158.232.19,192.203.230.10,8.165
1009442,163.172.67.195,192.203.230.10,1,163.172.67.195,172.17.0.1,0.121
1009442,163.172.67.195,192.203.230.10,2,172.17.0.1,163.172.67.1,0.58
1009442,163.172.67.195,192.203.230.10,3,163.172.67.1,195.154.2.0,0.532
1009442,163.172.67.195,192.203.230.10,4,195.154.2.0,51.158.8.72,1.368
1009442,163.172.67.195,192.203.230.10,5,51.158.8.72,37.49.236.92,3.752
1009442,163.172.67.195,192.203.230.10,6,37.49.236.92,192.203.230.10,0.792
1010033,94.229.84.52,192.203.230.10,1,94.229.84.52,94.229.84.49,0.401
1010033,94.229.84.52,192.203.230.10,2,94.229.84.49,94.229.84.225,3.534
1010033,94.229.84.52,192.203.230.10,3,94.229.84.225,89.46.144.83,15.928
1010033,94.229.84.52,192.203.230.10,4,89.46.144.83,162.158.100.9,15.883
1010033,94.229.84.52,192.203.230.10,5,162.158.100.9,192.203.230.10,14.149
1012349,18.167.85.80,192.203.230.10,1,18.167.85.80,172.18.0.1,0.051
1012349,18.167.85.80,192.203.230.10,2,172.18.0.1,244.5.0.21,8.886
1012349,18.167.85.80,192.203.230.10,3,244.5.0.21,240.0.248.12,0.304
1012349,18.167.85.80,192.203.230.10,4,240.0.248.12,242.2.233.199,8.63
1012349,18.167.85.80,192.203.230.10,5,242.2.233.199,240.3.200.13,1.837
1012349,18.167.85.80,192.203.230.10,6,240.3.200.13,242.10.140.129,1.822
1012349,18.167.85.80,192.203.230.10,7,242.10.140.129,192.0.0.8,2.073
1012349,18.167.85.80,192.203.230.10,8,192.0.0.8,99.83.113.179,1.794
1012349,18.167.85.80,192.203.230.10,9,99.83.113.179,103.22.203.73,1.498
1012349,18.167.85.80,192.203.230.10,10,103.22.203.73,192.203.230.10,1.342
1012457,206.51.125.142,192.203.230.10,1,206.51.125.142,10.42.0.27,0.074
1012457,206.51.125.142,192.203.230.10,2,10.42.0.27,206.51.125.141,0.771
1012457,206.51.125.142,192.203.230.10,3,206.51.125.141,209.124.52.96,13.557
1012457,206.51.125.142,192.203.230.10,4,209.124.52.96,192.203.230.10,13.706
1012575,38.141.35.218,192.203.230.10,1,38.141.35.218,10.42.0.128,0.091
1012575,38.141.35.218,192.203.230.10,2,10.42.0.128,38.141.35.217,0.13
1012575,38.141.35.218,192.203.230.10,3,38.141.35.217,206.81.81.10,8.708
1012575,38.141.35.218,192.203.230.10,4,206.81.81.10,108.162.243.11,19.543
1012575,38.141.35.218,192.203.230.10,5,108.162.243.11,192.203.230.10,8.239
1012655,66.231.27.38,192.203.230.10,1,66.231.27.38,10.42.1.173,0.085
1012655,66.231.27.38,192.203.230.10,2,10.42.1.173,66.231.27.37,0.289
1012655,66.231.27.38,192.203.230.10,3,66.231.27.37,66.231.1.101,0.505
1012655,66.231.27.38,192.203.230.10,4,66.231.1.101,208.53.207.54,1.046
1012655,66.231.27.38,192.203.230.10,5,208.53.207.54,192.203.230.10,0.512
1012660,64.251.160.190,192.203.230.10,1,64.251.160.190,10.42.0.192,0.067
1012660,64.251.160.190,192.203.230.10,2,10.42.0.192,64.251.160.189,0.638
1012660,64.251.160.190,192.203.230.10,3,64.251.160.189,64.251.185.205,0.619
1012660,64.251.160.190,192.203.230.10,4,64.251.185.205,66.231.1.109,0.227
1012660,64.251.160.190,192.203.230.10,5,66.231.1.109,66.231.21.65,6.759
1012660,64.251.160.190,192.203.230.10,6,66.231.21.65,208.53.207.54,35.835
1012660,64.251.160.190,192.203.230.10,7,208.53.207.54,192.203.230.10,6.797
1013461,80.211.198.90,192.203.230.10,1,80.211.198.90,80.211.198.2,0.881
1013461,80.211.198.90,192.203.230.10,2,80.211.198.2,81.2.232.120,1.119
1013461,80.211.198.90,192.203.230.10,3,81.2.232.120,193.188.137.62,7.516
1013461,80.211.198.90,192.203.230.10,4,193.188.137.62,192.203.230.10,7.564
1013533,147.189.174.162,192.203.230.10,1,147.189.174.162,5.175.181.1,1.092
1013533,147.189.174.162,192.203.230.10,2,5.175.181.1,108.181.132.93,2.635
1013533,147.189.174.162,192.203.230.10,3,108.181.132.93,*,
1013533,147.189.174.162,192.203.230.10,4,108.181.132.93,*,
1013533,147.189.174.162,192.203.230.10,5,108.181.132.93,173.245.63.164,1.067
1013533,147.189.174.162,192.203.230.10,6,173.245.63.164,173.245.63.181,10.465
1013533,147.189.174.162,192.203.230.10,7,173.245.63.181,192.203.230.10,1.355
1013575,86.94.105.93,192.203.230.10,1,86.94.105.93,192.168.218.1,0.363
1013575,86.94.105.93,192.203.230.10,2,192.168.218.1,195.190.228.44,5.217
1013575,86.94.105.93,192.203.230.10,3,195.190.228.44,*,
1013575,86.94.105.93,192.203.230.10,4,195.190.228.44,*,
1013575,86.94.105.93,192.203.230.10,5,195.190.228.44,192.203.230.10,4.841
1014174,212.253.131.221,192.203.230.10,1,212.253.131.221,172.17.0.1,0.261
1014174,212.253.131.221,192.203.230.10,2,172.17.0.1,10.41.164.1,14.975
1014174,212.253.131.221,192.203.230.10,3,10.41.164.1,10.36.78.146,13.828
1014174,212.253.131.221,192.203.230.10,4,10.36.78.146,10.40.184.80,17.637
1014174,212.253.131.221,192.203.230.10,5,10.40.184.80,10.40.184.134,13.441
1014174,212.253.131.221,192.203.230.10,6,10.40.184.134,80.231.203.4,58.372
1014174,212.253.131.221,192.203.230.10,7,80.231.203.4,80.231.65.14,60.966
1014174,212.253.131.221,192.203.230.10,8,80.231.65.14,195.219.68.126,61.283
1014174,212.253.131.221,192.203.230.10,9,195.219.68.126,195.219.69.105,57.522
1014174,212.253.131.221,192.203.230.10,10,195.219.69.105,195.219.87.51,57.519
1014174,212.253.131.221,192.203.230.10,11,195.219.87.51,192.203.230.10,56.213
11536,98.207.137.19,192.203.230.10,1,98.207.137.19,192.168.50.1,0.658
11536,98.207.137.19,192.203.230.10,2,192.168.50.1,10.28.25.131,12.939
11536,98.207.137.19,192.203.230.10,3,10.28.25.131,68.85.216.61,10.045
11536,98.207.137.19,192.203.230.10,4,68.85.216.61,68.85.86.189,11.009
11536,98.207.137.19,192.203.230.10,5,68.85.86.189,96.108.99.129,10.324
11536,98.207.137.19,192.203.230.10,6,96.108.99.129,162.151.87.225,13.84
11536,98.207.137.19,192.203.230.10,7,162.151.87.225,68.86.93.129,13.578
11536,98.207.137.19,192.203.230.10,8,68.86.93.129,96.110.33.34,13.608
11536,98.207.137.19,192.203.230.10,9,96.110.33.34,*,
11536,98.207.137.19,192.203.230.10,10,96.110.33.34,172.68.188.80,15.022
11536,98.207.137.19,192.203.230.10,11,172.68.188.80,192.203.230.10,13.358
12071,144.2.118.67,192.203.230.10,1,144.2.118.67,192.168.0.254,0.431
12071,144.2.118.67,192.203.230.10,2,192.168.0.254,138.187.22.36,6.434
12071,144.2.118.67,192.203.230.10,3,138.187.22.36,172.25.17.116,8.984
12071,144.2.118.67,192.203.230.10,4,172.25.17.116,178.238.160.61,8.325
12071,144.2.118.67,192.203.230.10,5,178.238.160.61,193.5.72.194,5.68
12071,144.2.118.67,192.203.230.10,6,193.5.72.194,138.187.129.72,8.018
12071,144.2.118.67,192.203.230.10,7,138.187.129.72,138.187.129.115,6.654
12071,144.2.118.67,192.203.230.10,8,138.187.129.115,91.206.52.12,9.429
12071,144.2.118.67,192.203.230.10,9,91.206.52.12,192.203.230.10,8.73
12857,185.49.141.6,192.203.230.10,1,185.49.141.6,185.49.141.1,0.423
12857,185.49.141.6,192.203.230.10,2,185.49.141.1,80.249.208.250,1.599
12857,185.49.141.6,192.203.230.10,3,80.249.208.250,192.203.230.10,1.07
12902,37.136.203.65,192.203.230.10,1,37.136.203.65,192.168.1.1,0.503
12902,37.136.203.65,192.203.230.10,2,192.168.1.1,172.20.47.19,12.209
12902,37.136.203.65,192.203.230.10,3,172.20.47.19,172.20.47.18,15.691
12902,37.136.203.65,192.203.230.10,4,172.20.47.18,62.78.100.208,14.261
12902,37.136.203.65,192.203.230.10,5,62.78.100.208,*,
12902,37.136.203.65,192.203.230.10,6,62.78.100.208,*,
12902,37.136.203.65,192.203.230.10,7,62.78.100.208,162.158.236.13,31.696
12902,37.136.203.65,192.203.230.10,8,162.158.236.13,192.203.230.10,15.052
17403,108.26.164.143,192.203.230.10,1,108.26.164.143,192.168.147.254,0.312
17403,108.26.164.143,192.203.230.10,2,192.168.147.254,100.0.220.1,4.056
17403,108.26.164.143,192.203.230.10,3,100.0.220.1,100.41.25.234,6.09
17403,108.26.164.143,192.203.230.10,4,100.41.25.234,*,
17403,108.26.164.143,192.203.230.10,5,100.41.25.234,152.193.179.74,10.988
17403,108.26.164.143,192.203.230.10,6,152.193.179.74,172.68.52.17,6.172
17403,108.26.164.143,192.203.230.10,7,172.68.52.17,192.203.230.10,5.159
17797,76.236.29.168,192.203.230.10,1,76.236.29.168,192.168.30.1,0.6
17797,76.236.29.168,192.203.230.10,2,192.168.30.1,71.145.208.1,1.484
17797,76.236.29.168,192.203.230.10,3,71.145.208.1,71.148.149.92,1.679
17797,76.236.29.168,192.203.230.10,4,71.148.149.92,32.130.88.102,3.123
17797,76.236.29.168,192.203.230.10,5,32.130.88.102,32.130.20.158,3.2
17797,76.236.29.168,192.203.230.10,6,32.130.20.158,32.130.104.175,3.155
17797,76.236.29.168,192.203.230.10,7,32.130.104.175,172.68.188.76,5.945
17797,76.236.29.168,192.203.230.10,8,172.68.188.76,192.203.230.10,5.082
18113,185.98.249.57,192.203.230.10,1,185.98.249.57,10.10.60.252,0.342
18113,185.98.249.57,192.203.230.10,2,10.10.60.252,185.98.249.1,0.465
18113,185.98.249.57,192.203.230.10,3,185.98.249.1,88.157.99.38,1.601
18113,185.98.249.57,192.203.230.10,4,88.157.99.38,10.255.48.74,7.682
18113,185.98.249.57,192.203.230.10,5,10.255.48.74,195.23.124.121,7.933
18113,185.98.249.57,192.203.230.10,6,195.23.124.121,172.68.100.13,10.614
18113,185.98.249.57,192.203.230.10,7,172.68.100.13,192.203.230.10,7.733
20088,86.202.74.234,192.203.230.10,1,86.202.74.234,192.168.1.2,0.41
20088,86.202.74.234,192.203.230.10,2,192.168.1.2,80.10.4.9,1.986
20088,86.202.74.234,192.203.230.10,3,80.10.4.9,80.12.192.110,1.783
20088,86.202.74.234,192.203.230.10,4,80.12.192.110,193.252.101.149,4.203
20088,86.202.74.234,192.203.230.10,5,193.252.101.149,*,
20088,86.202.74.234,192.203.230.10,6,193.252.101.149,193.251.150.110,5.829
20088,86.202.74.234,192.203.230.10,7,193.251.150.110,162.158.20.242,71.61
20088,86.202.74.234,192.203.230.10,8,162.158.20.242,192.203.230.10,5.9
